CW	EXM
63	79
23	36
50	73
40	57
27	90
73	86
57	67
17	20
13	64
53	69
57	83
70	93
60	81
47	69
57	81
57	93
60	87
73	79
40	90
70	80
73	81
63	74
70	80
77	71
40	67
50	70
57	66
73	84
47	63
57	83
67	41
77	81
43	60
87	93
53	69
37	56
60	89
20	29
70	70
47	77
63	77
43	74
67	77
43	83
57	54
87	76
70	74
83	94
67	67
53	73
87	99
70	97
63	71
87	100
70	80
47	36
60	97
93	87
